,BookName,Publisher,MRP,DiscountPrice,DiscountPercent,Rating,PersonsReviewed,Deals,PageNo
147,Essential English for Competitive Examinations - 2nd Ed...,"English, Paperback, unknown",₹625,₹295,52% off,4.3,"(3,020)",Free delivery,4
148,Cbse All in One Hindi a Class 10 2022-23 (as Per Latest...,"Hindi, Paperback, unknown",₹350,₹184,47% off,4.4,(128),Lowest price since launch,4
149,Pathfinder Nda/Na National Defence Academy & Naval Acad...,"Hindi, Paperback, unknown",₹795,₹304,61% off,4.3,(876),"Buy 3 items, save extra 5%",4
150,GO TO Objective NEET Chemistry Guide with DPP & CPP She...,"Paperback, Disha Experts",₹900,₹507,43% off,4.3,(23),Free delivery,4
151,Mental Ability for NTSE & Olympiad Exams for Class 10 (...,"English, Paperback, Disha Experts",₹420,₹183,56% off,4.4,"(1,586)",Free delivery,4
152,Advanced Problems in Mathematics for JEE (Main & Advanc...,"Paperback, Vikas Gupta, Pankaj Joshi",₹398,₹291,26% off,4.4,(157),Free delivery,4
153,My First Library: Boxset of 10 Board Books for Kids By ...,"English, Hardcover, unknown",₹750,₹330,56% off,4.4,"(4,487)","Buy 3 items, save extra 5%",4
154,Indian and World Geography (English|6th Edition) | UPSC...,"Paperback, Majid Husain, Edited by- Tasawwur Husain Zaidi",₹650,₹354,45% off,4.4,(71),"Buy 3 items, save extra 5%",4
155,Her Last Wish,"English, Paperback, Pandey Ajay K.",₹175,₹72,58% off,4.5,"(13,601)","Buy 3 items, save extra 5%",4
156,FCI AG III Technical Phase I + Phase II (Paper I) 2022 ...,"Paperback, Adda247 Publications","₹1,896","₹1,599",15% off,,,Free delivery,4
157,FCI Junior Engineer Electrical 2022 Phase I & II Comple...,"Paperback, Adda247 Publications","₹3,098","₹1,699",45% off,,,Free delivery,4
158,Chanakya Neeti,"English, Paperback, Pillai Radhakrishnan",₹299,₹144,51% off,4.6,"(3,818)","Buy 3 items, save extra 5%",4
159,Rapidfire Samanya Gyan 2023 for Competitive Exams 5th E...,"Paperback, Disha Experts",₹40,₹31,22% off,4.3,(262),"Buy 3 items, save extra 5%",4
160,The Power of Your Subconscious Mind  - Unlock Your Mast...,"Paperback, Dr. Murphy Joseph",₹299,₹159,46% off,,,Free delivery,5
161,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis...,"English, Paperback, Experts Disha",₹350,₹188,46% off,4.4,(656),Free delivery,5
162,SBI Clerk 10 Year-wise Prelim & Mains Solved Papers (20...,"Paperback, Disha Experts",₹290,₹164,43% off,4.4,(176),Free delivery,5
163,Why Not Me?,"English, Paperback, Agrawal Anubhav",₹199,₹87,56% off,4.6,"(7,805)","Buy 3 items, save extra 5%",5
164,Let's Talk Money,"English, Paperback, Halan Monika",₹399,₹152,61% off,4.6,"(1,438)","Buy 3 items, save extra 5%",5
165,Willy Visits The Square World,"Paperback, Jeffrey Archer",₹299,₹126,57% off,4.9,(9),"Buy 3 items, save extra 5%",5
166,Vacation Activity Books For Kids 3 Year To 7 Year Old |...,"Paperback, Content Team at Target Publications",₹690,₹555,19% off,4.4,(15),Free delivery,5
167,97 JEE Main Online & Offline (2021 - 2002) Chapterwise ...,"Paperback, Disha Experts","₹1,990","₹1,153",42% off,4.4,(18),Free delivery,5
168,The 7 Habits of Highly Effective People Updated,"English, Paperback, unknown",₹599,₹235,60% off,4.4,(345),"Buy 3 items, save extra 5%",5
169,Jeet Aapki,"Hindi, Paperback, Khera Shiv",₹399,₹176,55% off,4.5,"(9,697)","Buy 3 items, save extra 5%",5
170,"Little Mee Nursery Books For Kids Learning | English, M...","Paperback, Content Team at Chetana Publications","₹1,450","₹1,199",17% off,4.5,(48),Free delivery,5
171,28 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers...,"Paperback, Disha Experts","₹1,710",₹977,42% off,4.8,(10),Free delivery,5
172,Handbook of Physics,"English, Paperback, unknown",₹250,₹100,60% off,4.5,"(4,114)",Lowest price since launch,5
173,151 Essays for IAS/ PCS & other Competitive Exams 3rd E...,"English, Paperback, unknown",₹425,₹172,59% off,4.4,"(2,814)",Free delivery,5
174,The Power of a Positive Attitude,"English, Paperback, Fritz Roger",₹150,₹66,56% off,4.5,(774),"Buy 3 items, save extra 5%",5
175,That Night,"English, Paperback, Upadhyay Nidhi",₹250,₹144,42% off,4.5,(685),"Buy 3 items, save extra 5%",5
176,Biology Class 12 CBSE Board 13 Years Skill-wise & Chapt...,"Paperback, Disha Experts",₹260,₹140,46% off,4,(29),Free delivery,5
177,IBPS Bank Clerk Guide for Preliminary & Main Exams with...,"Paperback, Disha Experts",₹775,₹422,45% off,4.4,(59),Free delivery,5
178,The 5 AM Club,"English, Paperback, Sharma Robin",₹350,₹154,56% off,4.5,"(16,817)","Buy 3 items, save extra 5%",5
179,Handbook of Mathematics,"English, Paperback, unknown",₹250,₹115,54% off,4.5,"(2,874)","Buy 3 items, save extra 5%",5
180,34 Varsh NTA NEET (UG) Chapter-wise & Topic-wise Solved...,"Paperback, Disha Experts",₹340,₹172,49% off,4.4,(98),Free delivery,5
181,Foundation Course in Physics for JEE/ NEET/ Olympiad Cl...,"Paperback, Disha Experts",₹540,₹232,57% off,4.6,(97),Free delivery,5
182,THE SECRET,"Tamil, Paperback, RHONDA BYRNE",₹699,₹257,63% off,4.6,(356),Lowest price since launch,5
183,The Secret,"Tamil, Paperback, Byrne Rhonda",₹499,₹202,59% off,4.5,"(6,052)","Buy 3 items, save extra 5%",5
184,The Secret,"Malayalam, Paperback, Byrne Rhonda",₹499,₹202,59% off,4.5,"(4,478)","Buy 3 items, save extra 5%",5
